,uf_unique_,stop_id,name,operator,mode,direction,route_id,related_ro,related__1,related__2,headway_av,headway__1,headway__2,headway__3,hourly_arr,hourly_a_1,hourly_a_2,hourly_a_3,total_arri,total_ar_1,geometry_k,geometry
1714,f-9q9-scmtdcom_1732,2702R,Santa Cruz Metro Center - Lane 2,Santa Cruz Metro,Bus,0,17,17,Amtrak Highway 17 Express,170069,,,65.0,,,0.5,0.12,,2.0,,eedf9fa0cb44212d,POINT (-122.024529 36.970917)
1715,f-9q9-scmtdcom_1733,2703R,Santa Cruz Metro Center - Lane 3,Santa Cruz Metro,Bus,0,35A,35A,SLV via Scotts Valley Drive,35A0037,60.0,60.0,64.29,120.0,1.0,1.0,0.94,0.44,15.0,7.0,6e3c71252a5d7b7a,POINT (-122.024475 36.970795)
1716,f-9q9-scmtdcom_1734,2703R,Santa Cruz Metro Center - Lane 3,Santa Cruz Metro,Bus,0,35A,35A,SLV via Scotts Valley Drive,35A0038,60.0,60.0,60.0,125.0,1.5,1.5,0.88,0.44,14.0,7.0,6e3c71252a5d7b7a,POINT (-122.024475 36.970795)
1717,f-9q9-scmtdcom_1735,2703R,Santa Cruz Metro Center - Lane 3,Santa Cruz Metro,Bus,0,35A,35A,SLV via Scotts Valley Drive,35A0039,,,,,,,,,1.0,1.0,6e3c71252a5d7b7a,POINT (-122.024475 36.970795)
1718,f-9q9-scmtdcom_1736,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,66,66,Live Oak via 17th,660009,60.0,70.0,68.75,79.5,1.0,1.0,0.81,0.69,13.0,11.0,a46a4d28810f3e73,POINT (-122.024475 36.970615)
1719,f-9q9-scmtdcom_1737,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,66,66,Live Oak via 17th,660010,,,,,,,0.06,,1.0,,a46a4d28810f3e73,POINT (-122.024475 36.970615)
1720,f-9q9-scmtdcom_1738,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,68,68,Live Oak via Broadway / Portola,680013,60.0,60.0,60.0,60.0,1.0,1.0,0.75,0.38,12.0,6.0,a46a4d28810f3e73,POINT (-122.024475 36.970615)
1721,f-9q9-scmtdcom_1739,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,69A,69A,Capitola Rd. / Watsonville via Airport Blvd.,69A0005,60.0,60.0,59.36,59.36,1.0,1.0,0.75,0.75,12.0,12.0,a46a4d28810f3e73,POINT (-122.024475 36.970615)
1722,f-9q9-scmtdcom_1740,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,69W,69W,Capitola Rd. / Cabrillo / Watsonville,69W0005,60.0,60.0,60.0,59.3,1.0,1.0,0.94,0.69,15.0,11.0,a46a4d28810f3e73,POINT (-122.024475 36.970615)
1723,f-9q9-scmtdcom_1741,2704R,Santa Cruz Metro Center - Lane 4,Santa Cruz Metro,Bus,0,71,71,Santa Cruz / Watsonville,710011,60.0,60.0,60.0,73.64,1.0,1.0,0.88,0.75,14.0,12.0,a46a4d28810f3e73,POINT (-122.024475 36.970615)
